Compound_Identifier,SMILES_x,MolWt,LogP,HDonors,HAcceptors,TPSA,RotatableBonds,RingCount,HeavyAtomCount,Lipinski,SMILES_y,GI absorption,BBB permeant,Predicted_Activity,SVC_Score
UNOXMAZMLDKOBL-INIZCTEOSA-N,C=CC(=O)N1CCCC(Nc2nccc(Nc3nc4ccc(Oc5ccccc5)nc4s3)n2)C1,473.56200000000024,4.606100000000002,2,9,105.16000000000001,7,5,34,True,C=CC(=O)N1CCCC(Nc2nccc(Nc3nc4ccc(Oc5ccccc5)nc4s3)n2)C1,0,0,1,1.4728431514413827
WZDLCZLNEODAPO-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4[nH]ncc4c3)ncc2F)c1,389.39400000000006,4.103700000000001,4,6,107.62,6,4,29,True,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4[nH]ncc4c3)ncc2F)c1,1,0,1,1.4503989749880033
XWJGLCNDANLCCB-UHFFFAOYSA-N,COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C4CO4)c3)n2)cc1,439.4470000000001,3.4654000000000016,3,8,109.92999999999999,10,4,32,True,COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C4CO4)c3)n2)cc1,1,0,1,1.4481900306311855
ZNCXVRFUZGRUKC-UHFFFAOYSA-N,COCCOc1ccc(Cl)c(C(=O)c2c[nH]c3ncnc(NC4CCC(CO)OC4)c23)c1,460.91800000000023,2.819300000000001,3,8,118.59000000000002,9,4,32,True,COCCOc1ccc(Cl)c(C(=O)c2c[nH]c3ncnc(NC4CCC(CO)OC4)c23)c1,1,0,1,1.44128295012372
LOXZOCFVIDCAQL-HIFRSBDPSA-N,COCCOc1ccc(C(=O)c2c[nH]c3ncnc(NC4CCC(CO)OC4)c23)c(Cl)c1,460.91800000000023,2.819300000000001,3,8,118.59000000000002,9,4,32,True,COCCOc1ccc(C(=O)c2c[nH]c3ncnc(NC4CCC(CO)OC4)c23)c(Cl)c1,1,0,1,1.44128295012372
QJORGGWPAWDNRO-UHFFFAOYSA-N,C=CC(=O)N1CCCC(Nc2nc(Nc3cnn(CCN(CC)CC)c3)nc3n[nH]c(Cl)c23)C1,487.01200000000034,2.8770999999999995,3,8,119.89000000000001,10,4,34,True,C=CC(=O)N1CCCC(Nc2nc(Nc3cnn(CCN(CC)CC)c3)nc3n[nH]c(Cl)c23)C1,1,0,1,1.4403807825054955
QJORGGWPAWDNRO-OAHLLOKOSA-N,C=CC(=O)N1CCCC(Nc2nc(Nc3cnn(CCN(CC)CC)c3)nc3[nH]nc(Cl)c23)C1,487.01200000000034,2.8770999999999995,3,8,119.89,10,4,34,True,C=CC(=O)N1CCCC(Nc2nc(Nc3cnn(CCN(CC)CC)c3)nc3[nH]nc(Cl)c23)C1,1,0,1,1.4403807825054828
GRFLNJQUUYUWKX-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-n2cnc3cnc(Nc4ccc(OCCCN5CCOCC5)cc4)nc32)c1,499.57500000000044,3.7847000000000026,2,8,106.43,10,5,37,True,C=CC(=O)Nc1cccc(-n2cnc3cnc(Nc4ccc(OCCCN5CCOCC5)cc4)nc32)c1,1,0,1,1.4388460537886771
PTUBVGVSLKBGFB-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-n2c(=O)c(CC)nc3cnc(Nc4ccc(OCCOC)cc4)nc32)c1,486.5320000000002,3.631400000000002,2,8,120.26,10,4,36,True,C=CC(=O)Nc1cccc(-n2c(=O)c(CC)nc3cnc(Nc4ccc(OCCOC)cc4)nc32)c1,1,0,1,1.4372011512438647
NJEDGYHSYHYSAM-UHFFFAOYSA-N,O=C(Nc1ccccc1)Nc1cccc(CCNc2ncnc3[nH]ccc23)c1,372.432,4.256500000000002,4,4,94.73000000000002,6,4,28,True,O=C(Nc1ccccc1)Nc1cccc(CCNc2ncnc3[nH]ccc23)c1,1,0,1,1.4282182338424556
IDCFUFHDGGYXQN-UHFFFAOYSA-N,Cc1c(N)cccc1-c1ccc(C(N)=O)c2[nH]c3cc(C(C)(C)O)ccc3c12,373.45600000000013,4.205020000000002,4,3,105.13000000000001,3,4,28,True,Cc1c(N)cccc1-c1ccc(C(N)=O)c2[nH]c3cc(C(C)(C)O)ccc3c12,1,0,1,1.4241653042697302
MHMBPCLQHLYVFI-MRXNPFEDSA-N,C=CC(=O)N1CCCC(Nc2nc(Nc3cnn(CCN(CC)CC)c3)nc3[nH]ncc23)C1,452.56700000000035,2.223699999999999,3,8,119.89,10,4,33,True,C=CC(=O)N1CCCC(Nc2nc(Nc3cnn(CCN(CC)CC)c3)nc3[nH]ncc23)C1,1,0,1,1.422531924184003
GGEZBZCPADOAPX-UHFFFAOYSA-N,O=C(NCCc1cccc(Nc2ncnc3[nH]ccc23)c1)Nc1ccccc1,372.4320000000001,4.065700000000001,4,4,94.72999999999999,6,4,28,True,O=C(NCCc1cccc(Nc2ncnc3[nH]ccc23)c1)Nc1ccccc1,1,0,1,1.4182041715067668
YFGVERKFVKNOIO-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-n2c(=O)n(CCOC)c3cnc(Nc4ccc(OC)nc4)nc32)c1,461.48200000000014,2.5003,2,8,125.19000000000001,9,4,34,True,C=CC(=O)Nc1cccc(-n2c(=O)n(CCOC)c3cnc(Nc4ccc(OC)nc4)nc32)c1,1,0,1,1.413576858189117
URDLNELEXSAZFO-UHFFFAOYSA-N,Cn1ccc(Nc2ncnc(-c3ccc(CNC(=O)c4noc(C(C)(C)CF)n4)c(C4CC4)c3)n2)n1,491.5310000000003,3.4532000000000025,2,9,136.54000000000002,9,5,36,True,Cn1ccc(Nc2ncnc(-c3ccc(CNC(=O)c4noc(C(C)(C)CF)n4)c(C4CC4)c3)n2)n1,0,0,1,1.4135393961206257
XBKUZAHBOAJCHX-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)NCCO4)ncc2F)c1,406.42100000000016,4.031700000000002,4,7,100.2,6,4,30,True,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)NCCO4)ncc2F)c1,1,0,1,1.411979164558137
XCCATKZDNIWAER-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCN4CCCC4=O)nc3)ncc2F)c1,477.50000000000034,3.6236000000000024,3,8,121.37,10,4,35,True,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCN4CCCC4=O)nc3)ncc2F)c1,1,0,1,1.4024352403725895
